date,open,high,low,close,volume
2020-08-20,2.353855,2.595698,2.275125,2.4431,41127077.0
2020-08-21,2.440441,2.616338,2.300542,2.437394,41806740.0
2020-08-22,2.440397,3.824175,2.388099,3.802197,411870428.0
2020-08-23,3.804204,3.804204,3.150718,3.362457,271865017.0
2020-08-24,3.379704,4.055162,3.231173,3.90234,345661334.0
2020-08-25,3.887366,4.867504,3.819125,4.666803,759450667.0
2020-08-26,4.682022,5.539426,4.350011,5.136648,890510768.0
2020-08-27,5.131628,5.743443,4.502862,4.762311,1090873506.0
2020-08-28,4.771744,5.323818,4.659789,5.174239,610801734.0
2020-08-29,5.187653,5.512034,5.074796,5.172923,442858767.0
2020-08-30,5.168133,5.22362,4.829274,4.924313,407153470.0
2020-08-31,4.954545,5.408023,4.847092,5.277527,429409025.0
2020-09-01,5.276513,5.705782,5.168303,5.273823,504446900.0
2020-09-02,5.268723,5.396365,4.772329,5.182077,493061893.0
2020-09-03,5.175083,5.337608,4.806704,4.854764,645005429.0
2020-09-04,4.836809,5.047059,3.922186,4.347049,714468243.0
2020-09-05,4.338597,4.48706,3.086219,3.48227,680689400.0
2020-09-06,3.494704,4.138071,3.175996,4.055315,780870323.0
2020-09-07,4.052425,4.071809,3.411374,3.887549,571434942.0
2020-09-08,3.882718,3.905508,3.501289,3.6325,441442173.0
2020-09-09,3.639761,4.060968,3.530654,3.989441,452490262.0
2020-09-10,3.990213,4.122209,3.783766,3.874188,535753281.0
2020-09-11,3.872719,4.01089,3.648225,3.921453,534731570.0
2020-09-12,3.925703,4.456769,3.811791,4.335967,636206626.0
2020-09-13,4.342724,4.624437,4.057249,4.474898,928668864.0
2020-09-14,4.473605,4.716108,4.331357,4.506929,849579799.0
2020-09-15,4.522026,4.583143,4.301805,4.301805,757978909.0
2020-09-16,4.279228,4.452937,4.213284,4.304262,671321112.0
2020-09-17,4.304262,4.574779,4.291288,4.503224,655150426.0
2020-09-18,4.507788,4.603376,4.312891,4.430415,577177601.0
2020-09-19,4.436726,4.439041,4.075258,4.160081,511219071.0
2020-09-20,4.163041,4.201514,3.737356,3.944042,674025302.0
2020-09-21,3.944042,3.964267,3.365,3.480232,932178999.0
2020-09-22,3.472416,3.594953,3.34294,3.565576,574936448.0
2020-09-23,3.560529,3.690324,3.407883,3.458378,477880193.0
2020-09-24,3.449758,3.768856,3.422598,3.75373,374838541.0
2020-09-25,3.74884,3.894319,3.656709,3.801026,365568695.0
2020-09-26,3.802138,3.837867,3.647458,3.737833,283493139.0
2020-09-27,3.731575,3.750325,3.576939,3.704756,271918138.0
2020-09-28,3.698013,3.932421,3.672805,3.766275,465453264.0
2020-09-29,3.78674,3.942842,3.716876,3.832846,433464905.0
2020-09-30,3.834937,3.834937,3.632463,3.710554,322831618.0
2020-10-01,3.711567,3.896095,3.624905,3.698794,379042093.0
2020-10-02,3.699367,3.720593,3.355624,3.518956,473597198.0
2020-10-03,3.522492,3.526068,3.446361,3.47361,308921361.0
2020-10-04,3.47155,3.581273,3.432192,3.561415,244335802.0
2020-10-05,3.567696,3.607813,3.513408,3.539409,281836856.0
2020-10-06,3.536501,3.546923,3.106674,3.20022,564249348.0
2020-10-07,3.197914,3.2968,3.087049,3.279689,534656758.0
2020-10-08,3.278692,3.537385,3.115264,3.486585,521990754.0
2020-10-09,3.494413,3.681986,3.414977,3.603315,415499513.0
2020-10-10,3.601573,3.783162,3.583623,3.594802,415894270.0
2020-10-11,3.599657,3.663617,3.531971,3.607191,328459400.0
2020-10-12,3.601756,3.757476,3.565146,3.656961,414467821.0
2020-10-13,3.653686,3.681867,3.539979,3.618929,358247893.0
2020-10-14,3.62415,3.705386,3.484607,3.575328,442922074.0
2020-10-15,3.569519,3.569519,3.445161,3.499545,384927651.0
2020-10-16,3.50229,3.548836,3.280729,3.336783,378352722.0
2020-10-17,3.343269,3.395109,3.304834,3.386474,176230356.0
2020-10-18,3.38742,3.518327,3.380294,3.503201,174200515.0
2020-10-19,3.508589,3.507763,3.368641,3.390926,212418671.0
2020-10-20,3.390159,3.503309,3.277422,3.305734,424969045.0
2020-10-21,3.302065,3.579899,3.301235,3.49409,386455321.0
2020-10-22,3.493918,3.664407,3.488526,3.612855,310857470.0
2020-10-23,3.617052,3.775898,3.548877,3.596924,389308252.0
2020-10-24,3.596927,3.735239,3.578204,3.671524,261586251.0
2020-10-25,3.671524,3.748992,3.597842,3.659086,286217788.0
2020-10-26,3.659087,4.011127,3.632471,4.002889,612236571.0
2020-10-27,4.002889,4.170336,3.954185,3.975542,696322683.0
2020-10-28,3.975543,4.054099,3.627811,3.715291,553214345.0
2020-10-29,3.715292,3.749282,3.312179,3.470899,587936726.0
2020-10-30,3.470842,3.560561,3.373902,3.501469,502403580.0
2020-10-31,3.501531,3.660229,3.487679,3.581048,272900054.0
2020-11-01,3.580967,3.629748,3.529921,3.629748,260153768.0
2020-11-02,3.629881,3.658795,3.422118,3.462251,432519447.0
2020-11-03,3.462249,3.489802,3.335453,3.422506,351538522.0
2020-11-04,3.42251,3.539451,3.328228,3.492637,712947239.0
2020-11-05,3.492637,3.636648,3.399748,3.583953,317561119.0
2020-11-06,3.583955,3.902582,3.55745,3.856841,390093486.0
2020-11-07,3.856841,4.074661,3.458305,3.57237,610398766.0
2020-11-08,3.57237,3.727844,3.488732,3.676305,331216927.0
2020-11-09,3.676305,3.747526,3.5995,3.676226,335676186.0
2020-11-10,3.676225,3.814369,3.649399,3.735709,320958916.0
2020-11-11,3.73571,3.907023,3.73571,3.78383,343401954.0
2020-11-12,3.78383,3.785256,3.657272,3.72697,311054060.0
2020-11-13,3.726971,3.873857,3.704435,3.83592,289392335.0
2020-11-14,3.83592,3.844991,3.692632,3.772977,279956157.0
2020-11-15,3.772977,3.794951,3.640061,3.697595,274736303.0
2020-11-16,3.697595,3.876002,3.670156,3.7822,375793851.0
2020-11-17,3.88593,4.133569,3.850092,4.083675,569031312.0
2020-11-18,4.083677,4.151921,3.814803,3.950613,566845963.0
2020-11-19,3.950609,4.092025,3.843905,4.008879,464880880.0
2020-11-20,4.008873,4.600392,4.002605,4.413869,866824464.0
2020-11-21,4.413869,4.896869,4.336594,4.851222,862597341.0
2020-11-22,4.851222,4.920764,4.405458,4.61993,883760224.0
2020-11-23,4.619931,5.00457,4.56711,4.987908,842690247.0
2020-11-24,4.98873,5.115005,4.741406,4.815571,935839894.0
2020-11-25,4.815477,4.887171,4.349531,4.45587,848497550.0
2020-11-26,4.454833,4.499189,3.744947,4.033764,1203408996.0
2020-11-27,4.034875,4.252563,3.785125,3.997987,722799585.0
2020-11-28,3.99862,4.132938,3.911133,4.096102,346951179.0
2020-11-29,4.096606,4.345791,4.024015,4.335771,377401971.0
2020-11-30,4.335733,4.551193,4.29711,4.503787,544309323.0
2020-12-01,4.504478,4.618055,4.19241,4.219572,644268865.0
2020-12-02,4.219489,4.573987,4.168703,4.51053,501242879.0
2020-12-03,4.511015,4.585534,4.407411,4.454741,291961701.0
2020-12-04,4.454558,4.472045,4.102105,4.152235,348949848.0
2020-12-05,4.149752,4.281282,4.03542,4.280196,337334984.0
2020-12-06,4.279418,4.290488,4.132,4.237476,246933089.0
2020-12-07,4.236748,4.245586,4.140488,4.178458,200570612.0
2020-12-08,4.178717,4.184387,3.892864,3.908746,329081390.0
2020-12-09,3.908583,4.08759,3.816776,4.025267,395414628.0
2020-12-10,4.026759,4.065836,3.911435,3.950749,246322027.0
2020-12-11,3.95113,3.955942,3.75077,3.815395,302221993.0
2020-12-12,3.814349,3.961313,3.810666,3.91398,233480717.0
2020-12-13,3.914203,4.124147,3.909612,4.031254,231556854.0
2020-12-14,4.031495,4.122614,3.973431,4.031773,168236661.0
2020-12-15,4.031629,4.34622,3.995546,4.319067,291277499.0
2020-12-16,4.318423,4.396422,4.217058,4.394337,416926665.0
2020-12-17,4.394329,4.677928,4.315783,4.358267,704592263.0
2020-12-18,4.358453,4.494286,4.290538,4.379319,495564198.0
2020-12-19,4.378844,4.541916,4.31387,4.355656,422311730.0
2020-12-20,4.355604,4.429362,4.163199,4.248708,425335893.0
2020-12-21,4.248513,4.439281,3.949469,3.997175,543829245.0
2020-12-22,3.995226,4.256361,3.944391,4.229703,572124579.0
2020-12-23,4.22941,4.26102,3.789468,3.863028,545707777.0
2020-12-24,3.864146,4.265103,3.815866,4.209541,530631703.0
2020-12-25,4.208741,4.332503,4.13391,4.276695,420406136.0
2020-12-26,4.277257,4.325632,4.178043,4.250425,397743291.0
2020-12-27,4.250243,4.391613,4.031573,4.20861,642559347.0
2020-12-28,4.208774,5.437608,4.199187,5.391172,1429143983.0
2020-12-29,5.386206,6.208967,5.064402,6.136413,2218127580.0
2020-12-30,6.136334,6.225287,5.782979,5.898479,1674189293.0
2020-12-31,5.895444,7.719806,5.830655,7.607144,2252295727.0
2021-01-01,7.603602,7.70935,6.692014,6.833862,2296276358.0
2021-01-02,6.83277,8.043955,6.523824,7.588661,2512759605.0
2021-01-03,7.58933,8.540216,7.312209,8.190399,2475812210.0
