date,open,high,low,close,volume
2020-01-02,5.942207,5.971077,5.891683,5.971077,237536000.0
2020-01-03,5.851362,5.919308,5.826473,5.875504,205384000.0
2020-01-06,5.782171,5.90537,5.756038,5.900144,262636000.0
2020-01-07,5.928518,6.017371,5.883469,5.971576,314856000.0
2020-01-08,5.967345,6.024092,5.927274,5.982776,277108000.0
2020-01-09,6.06914,6.120909,5.994722,6.048482,255112000.0
2020-01-10,6.155752,6.186117,6.06665,6.080837,316296000.0
2020-01-13,6.163966,6.296623,6.141317,6.271486,319840000.0
2020-01-14,6.228677,6.254064,6.141317,6.154509,359088000.0
2020-01-15,6.167202,6.189602,6.086065,6.111949,263104000.0
2020-01-16,6.165461,6.20155,6.142065,6.195576,284192000.0
2020-01-17,6.214738,6.222205,6.156748,6.204285,253792000.0
2020-01-21,6.167699,6.204535,6.136837,6.170935,217916000.0
2020-01-22,6.216233,6.311557,6.197317,6.224944,239240000.0
2020-01-23,6.265016,6.301851,6.176162,6.293388,244516000.0
2020-01-24,6.408872,6.45865,6.179895,6.234152,373512000.0
2020-01-27,5.929513,6.029317,5.779931,5.978295,470536000.0
2020-01-28,6.04425,6.204037,5.990988,6.171681,310976000.0
2020-01-29,6.157246,6.193335,6.071379,6.111202,258848000.0
2020-01-30,6.013388,6.131361,5.958384,6.117921,290504000.0
2020-01-31,6.072126,6.084073,5.842651,5.884464,370420000.0
2020-02-03,5.866297,6.000945,5.860074,5.981532,255564000.0
2020-02-04,6.123397,6.169939,6.073371,6.150774,271544000.0
2020-02-05,6.271735,6.28194,6.157744,6.241122,208220000.0
2020-02-06,6.27547,6.327985,6.194332,6.327985,218284000.0
2020-02-07,6.287912,6.310064,6.236392,6.261779,189752000.0
2020-02-10,6.284428,6.545761,6.27945,6.545014,529608000.0
2020-02-11,6.653279,6.782203,6.591306,6.667466,638556000.0
2020-02-12,6.720231,6.789671,6.681404,6.7832,374644000.0
2020-02-13,6.725209,6.806596,6.697831,6.739396,528016000.0
2020-02-14,7.149563,7.341456,7.118203,7.212532,1041924000.0
2020-02-18,7.109244,7.399697,7.089831,7.381279,620164000.0
2020-02-19,7.50373,7.850182,7.50373,7.832511,694332000.0
2020-02-20,7.784478,7.872833,7.375804,7.683181,810052000.0
