symbol,trades,wins,losses,win_rate,total_pnl
CRM,36,24,12,66.66666666666666,2594.7329428051758
ASML,29,14,15,48.275862068965516,2393.524175581056
META,29,15,14,51.724137931034484,1777.5323941772467
GOOGL,30,20,10,66.66666666666666,1526.1639678918464
SPY,29,20,9,68.96551724137932,1473.7141240356439
GLD,23,15,8,65.21739130434783,1114.4274080200203
VTI,30,20,10,66.66666666666666,754.7961711090084
SAP,31,16,15,51.61290322580645,711.477989274902
AIR,38,21,17,55.26315789473685,691.4967333815912
ROG,31,17,14,54.83870967741935,412.2009401953128
MSFT,22,11,11,50.0,295.3008410888667
IWM,27,14,13,51.85185185185185,200.9896013433837
TLT,15,7,8,46.666666666666664,101.35946768920905
SHEL,30,13,17,43.333333333333336,93.67494455474855
NVDA,33,14,19,42.42424242424242,70.97467222595188
BTC,48,24,24,50.0,37.506961218046904
AAPL,27,14,13,51.85185185185185,34.54374164428759
ORCL,35,18,17,51.42857142857142,19.32590555419955
DOT,38,22,16,57.89473684210527,6.447394117515568
LINK,55,32,23,58.18181818181818,4.481363083820341
LTC,54,26,28,48.148148148148145,1.1752830770416254
ETH,42,19,23,45.23809523809524,0.33665727306885174
PYPL,27,13,14,48.148148148148145,0.2493965178680419
EEM,27,18,9,66.66666666666666,0.19980351282073988
ADA,59,27,32,45.76271186440678,0.19634392708540083
INTC,42,24,18,57.14285714285714,0.1911685181488035
VIX,43,17,26,39.53488372093023,0.17245877510284432
EFA,26,16,10,61.53846153846154,0.14146305318420382
ETC,63,29,34,46.03174603174603,0.10390750952705366
AMD,35,15,20,42.857142857142854,0.07733512356262195
AVAX,50,21,29,42.0,0.012000301467132615
ALGO,59,28,31,47.45762711864407,0.006725101880164142
ATOM,56,23,33,41.07142857142857,0.004833172597503708
VET,58,33,25,56.896551724137936,0.0008525824392300102
TRX,52,26,26,50.0,0.0006981226384140549
MATIC,46,19,27,41.30434782608695,9.569385679775383e-05
UNI,66,34,30,51.515151515151516,-6.529076656650723e-06
DOGE,68,34,34,50.0,-0.0007605020898292172
XLM,57,22,35,38.59649122807017,-0.001906166297507286
SOL,57,24,33,42.10526315789473,-0.0045377025270596505
USO,33,14,19,42.42424242424242,-0.16921058473663325
ROKU,39,13,26,33.33333333333333,-0.22344691026306085
ZM,39,17,22,43.58974358974359,-0.24761292294067483
FIL,62,24,38,38.70967741935484,-0.30587441679302246
AAVE,55,23,32,41.81818181818181,-0.581253869009399
XRP,64,23,41,35.9375,-10.047886905884742
TTE,32,11,21,34.375,-213.73572720428464
NESN,28,12,15,42.857142857142854,-221.80549799560526
ADBE,29,16,13,55.172413793103445,-524.0507352099619
TSLA,35,10,25,28.57142857142857,-2454.591675303954
