symbol,trades,wins,losses,win_rate,total_pnl
CRM,36,24,12,66.66666666666666,2162.2774523376456
ASML,29,14,15,48.275862068965516,1994.6034796508786
META,29,15,14,51.724137931034484,1481.2769951477048
GOOGL,30,20,10,66.66666666666666,1271.8033065765371
SPY,29,20,9,68.96551724137932,1228.0951033630386
GLD,23,15,8,65.21739130434783,928.6895066833501
VTI,30,20,10,66.66666666666666,628.9968092575078
SAP,31,16,15,51.61290322580645,592.8983243957521
AIR,38,21,17,55.26315789473685,576.2472778179929
ROG,31,17,14,54.83870967741935,343.50078349609385
MSFT,22,11,11,50.0,246.08403424072378
IWM,27,14,13,51.85185185185185,167.49133445281927
TLT,15,7,8,46.666666666666664,84.46622307434097
SHEL,30,13,17,43.333333333333336,78.06245379562384
NVDA,33,14,19,42.42424242424242,59.14556018829339
BTC,48,24,24,50.0,31.25580101503906
AAPL,27,14,13,51.85185185185185,28.786451370239888
ORCL,35,18,17,51.42857142857142,16.123983062744912
DOT,38,22,16,57.89473684210527,5.372828431262975
LINK,55,32,23,58.18181818181818,3.7344692365169534
LTC,54,26,28,48.148148148148145,0.9794025642013553
ETH,42,19,23,45.23809523809524,0.2805477275573658
PYPL,27,13,14,48.148148148148145,0.20783043155670186
EEM,27,18,9,66.66666666666666,0.1665029273506165
ADA,59,27,32,45.76271186440678,0.16361993923783147
INTC,42,24,18,57.14285714285714,0.15930709845733645
VIX,43,17,26,39.53488372093023,0.14371564591903682
EFA,26,16,10,61.53846153846154,0.11788587765350342
ETC,63,29,34,46.03174603174603,0.08658959127254495
AMD,35,15,20,42.857142857142854,0.0644459363021847
AVAX,50,21,29,42.0,0.01000025122261046
ALGO,59,28,31,47.45762711864407,0.005604251566803457
ATOM,56,23,33,41.07142857142857,0.004027643831252942
VET,58,33,25,56.896551724137936,0.0007104853660250079
TRX,52,26,26,50.0,0.0005817688653450466
MATIC,46,19,27,41.30434782608695,7.974488066480115e-05
UNI,66,34,30,51.515151515151516,-5.440897213875608e-06
DOGE,68,34,34,50.0,-0.0006337517415243488
XLM,57,22,35,38.59649122807017,-0.0015884719145894041
SOL,57,24,33,42.10526315789473,-0.003781418772551781
USO,33,14,19,42.42424242424242,-0.1410088206138611
ROKU,39,13,26,33.33333333333333,-0.18620575855255156
ZM,39,17,22,43.58974358974359,-0.20634410245056134
FIL,62,24,38,38.70967741935484,-0.2548953473275186
AAVE,55,23,32,41.81818181818181,-0.48437822417450016
XRP,64,23,41,35.9375,-8.37323908823728
TTE,32,11,21,34.375,-178.1131060035705
NESN,28,12,15,42.857142857142854,-184.83791499633776
ADBE,29,16,13,55.172413793103445,-436.7089460082975
TSLA,41,15,26,36.58536585365854,-1402.1781060272215
