symbol,name,type,active
FUN,FUN,crypto,True
MON,MON,crypto,True
APT,APT,crypto,True
VANRY,VANRY,crypto,True
CTSI,CTSI,crypto,True
SHELL,SHELL,crypto,True
DMC,DMC,crypto,True
MAVIA,MAVIA,crypto,True
W,W,crypto,True
IMU,IMU,crypto,True
CHILLGUY,CHILLGUY,crypto,True
EURCV,EURCV,crypto,True
MOCA,MOCA,crypto,True
ONDO,ONDO,crypto,True
AVAX,AVAX,crypto,True
IMX,IMX,crypto,True
BABY,BABY,crypto,True
IOST,IOST,crypto,True
HIGH,HIGH,crypto,True
USELESS,USELESS,crypto,True
SOL,SOL,crypto,True
AUCTION,AUCTION,crypto,True
MASK,MASK,crypto,True
RAD,RAD,crypto,True
BANANA,BANANA,crypto,True
SUI,SUI,crypto,True
LPT,LPT,crypto,True
ALICE,ALICE,crypto,True
RVN,RVN,crypto,True
TRIA,TRIA,crypto,True
CAT,CAT,crypto,True
ALMANAK,ALMANAK,crypto,True
PUNDIX,PUNDIX,crypto,True
ZK,ZK,crypto,True
SQD,SQD,crypto,True
CRV,CRV,crypto,True
ZKC,ZKC,crypto,True
PNUT,PNUT,crypto,True
PUMP,PUMP,crypto,True
SWELL,SWELL,crypto,True
DBR,DBR,crypto,True
TRB,TRB,crypto,True
LINK,LINK,crypto,True
HOME,HOME,crypto,True
POND,POND,crypto,True
SFP,SFP,crypto,True
HOOK,HOOK,crypto,True
REQ,REQ,crypto,True
TAIKO,TAIKO,crypto,True
EPIC,EPIC,crypto,True
FARTCOIN,FARTCOIN,crypto,True
ZBT,ZBT,crypto,True
XMN,XMN,crypto,True
ZORA,ZORA,crypto,True
DIA,DIA,crypto,True
API3,API3,crypto,True
ADA,ADA,crypto,True
TREE,TREE,crypto,True
RUNE,RUNE,crypto,True
EURC,EURC,crypto,True
ENJ,ENJ,crypto,True
NEWT,NEWT,crypto,True
METIS,METIS,crypto,True
RENDER,RENDER,crypto,True
ALT,ALT,crypto,True
SAND,SAND,crypto,True
DYDX,DYDX,crypto,True
IO,IO,crypto,True
CC,CC,crypto,True
DGB,DGB,crypto,True
MMT,MMT,crypto,True
IP,IP,crypto,True
NEIRO,NEIRO,crypto,True
RLC,RLC,crypto,True
PHA,PHA,crypto,True
ICNT,ICNT,crypto,True
HFT,HFT,crypto,True
USDC,USDC,crypto,True
IQ,IQ,crypto,True
QKC,QKC,crypto,True
ZIG,ZIG,crypto,True
RDNT,RDNT,crypto,True
TAI,TAI,crypto,True
XVG,XVG,crypto,True
XRP,XRP,crypto,True
BIO,BIO,crypto,True
QTUM,QTUM,crypto,True
ZKJ,ZKJ,crypto,True
CAKE,CAKE,crypto,True
BTC,BTC,crypto,True
RPL,RPL,crypto,True
DOT,DOT,crypto,True
PHB,PHB,crypto,True
SOLV,SOLV,crypto,True
ICP,ICP,crypto,True
