symbol,trades,wins,losses,win_rate,total_pnl
CRM,35,23,12,65.71428571428571,1283.9278871305096
META,29,15,14,51.724137931034484,1193.523955214771
ASML,29,14,15,48.275862068965516,1044.85788136952
GOOGL,30,20,10,66.66666666666666,885.4417410141674
SPY,28,19,9,67.85714285714286,719.896131072544
GLD,23,15,8,65.21739130434783,588.9235573657593
VTI,30,20,10,66.66666666666666,475.47115383091193
SAP,31,16,15,51.61290322580645,460.55789404661255
AIR,38,21,17,55.26315789473685,360.24233998950524
MSFT,21,11,10,52.38095238095239,342.53682445924585
IWM,25,13,12,52.0,191.19228644482092
ROG,31,17,14,54.83870967741935,110.68622934278847
SHEL,29,13,16,44.827586206896555,42.239362507378885
TLT,15,7,8,46.666666666666664,39.54220218487632
NVDA,32,13,19,40.625,31.810060411595515
BTC,45,21,24,46.666666666666664,15.070245883698679
AAPL,27,14,13,51.85185185185185,6.015580608311041
LINK,54,31,23,57.407407407407405,2.3184394614174133
DOT,37,21,16,56.75675675675676,2.165544457250567
SOL,55,22,33,40.0,0.7693485384680812
LTC,54,26,28,48.148148148148145,0.4918540300032427
ETH,41,18,23,43.90243902439025,0.20506319009262342
INTC,42,24,18,57.14285714285714,0.12188579769259777
EEM,27,18,9,66.66666666666666,0.11950524492064528
VIX,43,17,26,39.53488372093023,0.10230897737158016
EFA,25,16,9,64.0,0.08744519680877219
AAVE,53,22,31,41.509433962264154,0.07690542322943406
ETC,62,28,34,45.16129032258064,0.0477935865834934
AMD,35,15,20,42.857142857142854,0.01738561526443705
ALGO,57,26,31,45.614035087719294,0.0028438291293153097
MATIC,46,19,27,41.30434782608695,0.001769780931842414
TRX,52,26,26,50.0,0.00037485467484671235
VET,56,31,25,55.35714285714286,0.00033929472794809126
UNI,66,34,30,51.515151515151516,-5.243541304869991e-06
DOGE,66,32,34,48.484848484848484,-0.0004794422319561473
XLM,57,22,35,38.59649122807017,-0.0009938494383685624
ATOM,56,23,33,41.07142857142857,-0.008111611975077669
ZM,39,17,22,43.58974358974359,-0.026071140281107436
ROKU,37,12,25,32.432432432432435,-0.03114300980297427
PYPL,23,9,14,39.130434782608695,-0.042044311401822854
AVAX,47,20,27,42.5531914893617,-0.06529417987200604
USO,32,13,19,40.625,-0.12175188266068643
FIL,61,24,37,39.34426229508197,-0.21637120364144447
ADA,58,26,32,44.827586206896555,-0.546871091453351
XRP,64,23,41,35.9375,-7.313108343711176
ORCL,33,17,16,51.515151515151516,-9.73619957038531
TTE,32,11,21,34.375,-147.29509759498703
NESN,28,12,15,42.857142857142854,-186.77363979054905
ADBE,28,15,13,53.57142857142857,-571.5045552267952
TSLA,40,14,26,35.0,-1117.7902347776494
