trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
1,2020-01-30 05:00:00+00:00,TTE,BUY,6.562,34.57040023803711,226.85096636199953,,,,,0.6562,|,APPROVE,EXECUTE,100000.0,100000.0
2,2020-01-30 05:00:00+00:00,SHEL,BUY,6.550000000000001,42.153472900390625,276.10524749755865,,,,,0.655,|,APPROVE,EXECUTE,100000.0,100000.0
3,2020-01-30 05:00:00+00:00,USO,BUY,0.0035952,88.63999938964844,0.318678525805664,,,,,0.5992,|,APPROVE,EXECUTE,100000.0,100000.0
4,2020-02-03 05:00:00+00:00,USO,SELL,0.0035952,83.91999816894531,0.30170917741699216,-0.016969348388671868,-5.324911161105373,False,True,0.5984,|,APPROVE,EXECUTE,99980.32916825538,99999.98303065162
5,2020-02-04 05:00:00+00:00,USO,BUY,0.003594,83.5199966430664,0.30017086793518066,,,,,0.599,|,APPROVE,EXECUTE,99984.29614913612,99999.98303065162
6,2020-02-07 00:00:00+00:00,UNI,BUY,0.00715,0.002643000101670623,1.8897450726944953e-05,,,,,0.715,|,APPROVE,EXECUTE,99999.98303065162,99999.98303065162
7,2020-02-08 00:00:00+00:00,UNI,SELL,0.00715,0.0023849999997764826,1.705274999840185e-05,-1.8447007285431035e-06,-9.761637985978897,False,True,0.6725,|,APPROVE,EXECUTE,99999.98302880692,99999.98302880692
8,2020-02-09 00:00:00+00:00,UNI,BUY,0.0034020000000000005,0.0005019999807700515,1.7078039345797153e-06,,,,,0.675,|,APPROVE,EXECUTE,99999.98302880692,99999.98302880692
9,2020-02-10 00:00:00+00:00,UNI,SELL,0.0034020000000000005,0.0019099999917671084,6.497819971991704e-06,4.790016037411989e-06,280.47810058423335,True,False,0.645,|,APPROVE,EXECUTE,99999.98303359695,99999.98303359695
10,2020-02-18 05:00:00+00:00,SHEL,SELL,6.550000000000001,40.026023864746094,262.17045631408695,-13.934791183471702,-5.046912838407722,False,True,0.6712,|,APPROVE,EXECUTE,99980.4701466627,99986.04824241347
11,2020-02-19 00:00:00+00:00,ETC,BUY,0.0076,8.879036903381348,0.06748068046569825,,,,,0.76,|,APPROVE,EXECUTE,99986.04824241347,99986.04824241347
12,2020-02-21 00:00:00+00:00,LTC,BUY,0.0076500000000000005,73.45092010498047,0.5618995388031006,,,,,0.765,|,APPROVE,EXECUTE,99986.05245474791,99986.04824241347
13,2020-02-21 00:00:00+00:00,MATIC,BUY,0.006916,0.02076300047338009,0.00014359691127389669,,,,,0.6916,|,APPROVE,EXECUTE,99986.05245474791,99986.04824241347
14,2020-02-23 00:00:00+00:00,TRX,BUY,0.00724,0.02130500040948391,0.0001542482029646635,,,,,0.724,|,APPROVE,EXECUTE,99986.10131158287,99986.04824241347
15,2020-02-23 00:00:00+00:00,ADA,BUY,7.338,0.06151000037789345,0.4513603827729821,,,,,0.7338,|,APPROVE,EXECUTE,99986.10131158287,99986.04824241347
16,2020-02-23 00:00:00+00:00,BTC,BUY,0.0007134000000000001,9924.515625,7.080149446875001,,,,,0.7134,|,APPROVE,EXECUTE,99986.10131158287,99986.04824241347
17,2020-02-23 23:00:00+00:00,AIR,BUY,7.618,116.2190933227539,885.3570529327393,,,,,0.7618,|,APPROVE,EXECUTE,99986.04824241347,99986.04824241347
18,2020-02-24 00:00:00+00:00,TRX,SELL,0.00724,0.01985899917781353,0.00014377915404736996,-1.046904891729354e-05,-6.787144819892572,False,True,0.73,|,APPROVE,EXECUTE,99985.85327989487,99986.04823194441
19,2020-02-24 05:00:00+00:00,TTE,SELL,6.562,31.556148529052734,207.07144664764405,-19.779519714355473,-8.719169255286364,False,True,0.7336,|,APPROVE,EXECUTE,99966.27733783553,99966.26871223006
20,2020-02-25 00:00:00+00:00,ADA,SELL,7.338,0.05636399984359741,0.4135990308523178,-0.03776135192066432,-8.366120147424837,False,True,0.6944,|,APPROVE,EXECUTE,99965.80068140947,99966.23095087813
21,2020-02-25 00:00:00+00:00,BTC,SELL,0.0007134000000000001,9341.705078125,6.664372402734376,-0.4157770441406248,-5.872433163457281,False,True,0.7106,|,APPROVE,EXECUTE,99965.80068140947,99965.815173834
22,2020-02-25 00:00:00+00:00,MATIC,SELL,0.006916,0.019128000363707542,0.00013228925051540137,-1.1307660758495315e-05,-7.874584946278605,False,True,0.73,|,APPROVE,EXECUTE,99965.80068140947,99965.81516252633
23,2020-02-26 00:00:00+00:00,ETC,SELL,0.0076,7.680284023284912,0.058370158576965335,-0.00911052188873291,-13.500933638871599,False,True,0.78,|,APPROVE,EXECUTE,99965.71091192894,99965.80605200444
24,2020-02-26 00:00:00+00:00,LTC,SELL,0.0076500000000000005,61.01430892944336,0.4667594633102417,-0.09514007549285891,-16.931865738049247,False,True,0.73,|,APPROVE,EXECUTE,99965.71091192894,99965.71091192894
25,2020-02-26 05:00:00+00:00,TTE,BUY,4.6091999999999995,30.426666259765625,140.2425901245117,,,,,0.7682,|,APPROVE,EXECUTE,99965.70372392893,99965.71091192894
26,2020-02-26 05:00:00+00:00,EFA,BUY,0.007754,53.94711685180664,0.4183059440689087,,,,,0.7754,|,APPROVE,EXECUTE,99965.70372392893,99965.71091192894
27,2020-02-26 05:00:00+00:00,SHEL,BUY,4.732799999999999,36.47063064575195,172.60820072021482,,,,,0.7888,|,APPROVE,EXECUTE,99965.70372392893,99965.71091192894
