trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
1,2020-01-30 00:00:00+00:00,ATOM,BUY,30.079519110956642,4.414964199066162,132.8,,,,,0.664,SUN,APPROVE,EXECUTE,100000.0,100000.0
2,2020-01-30 05:00:00+00:00,TTE,BUY,4.1943396374236785,34.57040023803711,145.00000000000003,,,,,0.7250000000000001,SUN,APPROVE,EXECUTE,100000.0,100000.0
3,2020-01-30 05:00:00+00:00,SAP,BUY,1.2205324969127762,118.80060577392578,145.0,,,,,0.7250000000000001,SUN,APPROVE,EXECUTE,100000.0,100000.0
4,2020-01-30 05:00:00+00:00,SHEL,BUY,3.4398114798901025,42.153472900390625,145.0,,,,,0.7250000000000001,SUN,APPROVE,EXECUTE,100000.0,100000.0
5,2020-01-30 05:00:00+00:00,USO,BUY,1.006678707292734,88.63999938964844,89.23200000000001,,,,,0.7436,SUN,APPROVE,EXECUTE,100000.0,100000.0
6,2020-01-30 05:00:00+00:00,EEM,BUY,4.091907677153642,37.635257720947266,153.99999999999997,,,,,0.77,SUN,APPROVE,EXECUTE,100000.0,100000.0
7,2020-01-31 05:00:00+00:00,EFA,BUY,2.729479963120991,56.413330078125,153.97905410117292,,,,,0.77,SUN,APPROVE,EXECUTE,99986.3987669954,100000.0
8,2020-01-31 05:00:00+00:00,ORCL,BUY,3.1409648218766604,48.163360595703125,151.27942133446402,,,,,0.7565000000000001,SUN,APPROVE,EXECUTE,99986.3987669954,100000.0
9,2020-02-03 05:00:00+00:00,USO,SELL,1.006678707292734,83.91999816894531,84.48047527272246,-4.751524727277555,-5.324911161105382,False,True,0.7096000000000001,SUN,APPROVE,EXECUTE,99986.83297336144,99995.24847527272
10,2020-02-04 05:00:00+00:00,USO,BUY,0.9965670414270625,83.5199966430664,83.23327595457889,,,,,0.6936000000000001,SUN,APPROVE,EXECUTE,100001.53300963435,99995.24847527272
11,2020-02-05 00:00:00+00:00,UNI,BUY,41086.056007814426,0.0032319999299943447,132.79013014099996,,,,,0.664,SUN,APPROVE,EXECUTE,99992.56787725899,99995.24847527272
12,2020-02-06 00:00:00+00:00,UNI,SELL,41086.056007814426,0.002991999965161085,122.92947814398715,-9.860651997012809,-7.42574164702039,False,True,0.664,SUN,APPROVE,EXECUTE,99989.96068321263,99985.3878232757
13,2020-02-07 00:00:00+00:00,UNI,BUY,49109.52576281678,0.002643000101670623,129.7964815841208,,,,,0.649,SUN,APPROVE,EXECUTE,99997.28935602527,99985.3878232757
14,2020-02-08 00:00:00+00:00,UNI,SELL,49109.52576281678,0.0023849999997764826,117.12621893334119,-12.67026265077962,-9.761637985978881,False,True,0.6274000000000001,SUN,APPROVE,EXECUTE,99979.11237294017,99972.71756062491
15,2020-02-09 00:00:00+00:00,UNI,BUY,122947.14147078761,0.0005019999807700515,61.71946265406818,,,,,0.6124,SUN,APPROVE,EXECUTE,99983.05951808809,99972.71756062491
16,2020-02-10 00:00:00+00:00,UNI,SELL,122947.14147078761,0.0019099999917671084,234.82903919699385,173.10957654292565,280.4781005842333,True,False,0.6224,SUN,APPROVE,EXECUTE,100157.0701669563,100145.82713716783
17,2020-02-11 00:00:00+00:00,ATOM,SELL,30.079519110956642,5.102925777435303,153.49355344415847,20.693553444158454,15.58249506337233,True,False,0.6812,SUN,APPROVE,EXECUTE,100166.52069061199,100166.52069061199
18,2020-02-12 23:00:00+00:00,NESN,BUY,1.639374991706443,88.59562683105469,145.2414550013874,,,,,0.7250000000000001,SUN,APPROVE,EXECUTE,100166.52069061199,100166.52069061199
19,2020-02-14 00:00:00+00:00,UNI,BUY,53622.4773193073,0.001728000002913177,92.65964096397478,,,,,0.6424000000000001,SUN,APPROVE,EXECUTE,100166.52069061199,100166.52069061199
20,2020-02-14 05:00:00+00:00,ORCL,SELL,3.1409648218766604,50.936546325683594,159.98990015686303,8.710478822399011,5.75787423402486,True,False,0.6825000000000001,SUN,APPROVE,EXECUTE,100186.22973887785,100175.2311694344
21,2020-02-17 00:00:00+00:00,ETC,BUY,13.84343472995756,9.609964370727539,133.03491452338434,,,,,0.664,SUN,APPROVE,EXECUTE,100176.89346640388,100175.2311694344
22,2020-02-18 00:00:00+00:00,UNI,SELL,53622.4773193073,0.0014029999729245901,75.23233422713759,-17.427306736837195,-18.807872074113448,False,True,0.6524,SUN,APPROVE,EXECUTE,100160.74424067976,100157.80386269756
23,2020-02-18 05:00:00+00:00,SAP,SELL,1.2205324969127762,124.95967864990234,152.51734859598344,7.517348595983435,5.184378342057541,True,False,0.6510000000000001,SUN,APPROVE,EXECUTE,100164.74737558191,100165.32121129354
24,2020-02-18 05:00:00+00:00,SHEL,SELL,3.4398114798901025,40.026023864746094,137.68197638430883,-7.318023615691175,-5.046912838407707,False,True,0.6676000000000001,SUN,APPROVE,EXECUTE,100164.74737558191,100158.00318767785
25,2020-02-19 00:00:00+00:00,ATOM,BUY,34.0523503952014,4.158570766448975,141.60910888236174,,,,,0.707,SUN,APPROVE,EXECUTE,100147.88464099132,100158.00318767785
26,2020-02-19 00:00:00+00:00,ETH,BUY,0.5506969828739068,259.76397705078125,143.05123842119198,,,,,0.7142,SUN,APPROVE,EXECUTE,100147.88464099132,100158.00318767785
27,2020-02-19 00:00:00+00:00,XRP,BUY,515.3105707328983,0.2776019871234894,143.051238421192,,,,,0.7142,SUN,APPROVE,EXECUTE,100147.88464099132,100158.00318767785
